2,1517,"Sta Rosalía De Camargo",,,,,"Chihuahua",,648,4627303,4627301,4627302,462736,,,
2,1560,"Jose Mariano Jiménez",,,,,"Chihuahua",,629,5428895,5428896,5428897,,,,
2,1590,"Nvo. Casas Grandes",,,,,"Chihuahua",,636,6614916,6614917,6614918,6614919,,,
2,1690,"Aeropuerto",,,,,"Chihuahua",,614,5420206,5420206,5420248,5420245,,,
2,1767,"Puerto De Palos",,,,,"Chihuahua",,656,1713509,1713532,6470186,2699977,,,
2,2224,"Jilotepec",,,,,"Chihuahua",,656,6797247,6797248,6797249,6797250,,,
2,2740,"Talámas Camandari",,,,,"Chihuahua",,656,5664923,5664927,5664928,5664925,,,
2,3146,"Chaveñas",,,,,"Chihuahua",,656,2102695,21021696,2102697,2102703,,,
2,3560,"Panamericana",,,,,"Chihuahua",,614,2051384,2051381,2051382,,,,
2,1472,"Meoqui",,,,,"Chihuahua",,639,4737427,4737428,4737429,4727430,,,
2,2212,"Ojinaga",,,,,"Chihuahua",,626,4535542,4535543,4535544,,,,
2,2588,"Bosques De Aldama",,,,,"Chihuahua",,614,4510158,4511510,4510901,,,,
2,1046,"Cd. Valles",,,,,"San Luis Potosi",,481,3831421,3831420,3831419,,,,
2,3038,"Luis Echeverria",,,,,"Tamaulipas",,831,2396320,2396321,2396322,,,,
2,3073,"Multiplaza Real",,,,,"Tamaulipas",,833,1229871,1229813,1229863,,,,
2,1242,"ébano",,,,,"San Luis Potosi",,845,2633712,,,,,,
2,1539,"álamo",,,,,"Veracruz",,765,8446218,8446210,8446219,,,,
2,1819,"Tamazunchale",,,,,"San Luis Potosi",,483,3623066,3620624,3620339,,,,
2,1982,"Blvd. Juarez",,,,,"Veracruz",,785,8522564,8522773,8522860,,,,
2,2039,"Tantoyuca",,,,,"Veracruz",,789,8932438,8932633,8932663,,,,
2,2040,"Pánuco",,,,,"Veracruz",,846,2560922,2560935,2560952,,,,
2,2470,"Tamuin",,,,,"San Luis Potosi",,489,3881112,3881234,3881223,,,,
2,2875,"Coatzintla",,,,,"Veracruz",,782,8253806,8253839,8253849,,,,
2,4182,"Naranjos",,,,,"Veracruz",,768,8554720,8554721,8554722,,,,
2,5602,"Aldama",,,,,"Tamaulipas",,836,2742002,2741488,0,,,,
2,1417,"Mexicali Sur",,,,,"Baja California Norte",,686,8374542,8374621,8374165,,,,
