1,33,"Colón","Calzada Colón Sur",400,"Centro","Torreón","Coahuila",27000,18717590630,18717590632,,,,,,"Soriana"
1,34,"Centro","Av. Hidalgo",1550,"Centro","Torreón","Coahuila",27000,18717126954,18717122872,,,,,,"Soriana"
1,35,"20 De Noviembre","Av. 20 De Noviembre Ote.",209,"Centro","Durango","Durango",34000,16188290301,16188290302,16188290303,16188290304,,,,"Soriana"
1,36,"Niños Héroes","Av. Niños Héroes",1,"Centro","Chihuahua","Chihuahua",31000,16144104960,16144107081,,,,,,"Soriana"
1,37,"Gómez Palacio","Av. Victoria Y Urrea","S/n","Centro","Gómez Palacio","Durango",35000,18717373486,18717373487,18717373489,,,,,"Soriana"
1,38,"Universidad","Av. Universidad",3500,"Magisterial","Chihuahua","Chihuahua",31170,16144391200,16144391201,16144391201,16144391202,,,,"Soriana"
1,39,"Sanders","Calz. Eduardo Sander´s","S/n","Barreal","Cd. Juárez","Chihuahua",32040,16566322549,16566322339,,,,,,"Soriana"
1,40,"Aguascalientes","Av. Universidad Y Blvd. Aguascalientes","S/n","Bosques Del Prado","Aguascalientes","Aguascalientes",20120,14499120603,14499120363,,14499148489,,,,"Soriana"
1,41,"Fundadores","Blvd. Revolución Y Calz. Saltillo 400","S/n","Campestre La Rosita","Torreón","Coahuila",27250,18717325765,18717320730,18717326721,,,,,"Soriana"
1,42,"Plaza Juárez","Ejército Nacional Y  Av. Tecnológico",2701,"El Marquéz","Cd. Juárez","Chihuahua",32601,16566237867,16566237868,16566237870,,,,,"Soriana"
1,43,"Constitución","Blvd. Constitución",1111,"Margaritas","Torreón","Coahuila",27130,18717137492,18717137639,18717137765,,,,,"Soriana"
1,44,"Zacatecas","Blvd. López Portillo Y Calz. García Salinas",1,"Fovissste","Zacatecas","Zacatecas",98064,14929231091,14929231089,,14929233357,,,,"Soriana"
1,45,"Madero","Av. Domingo Arrieta Y Chihuahua",700,"Fraccionamiento Francisco I. Madero","Durango","Durango",34150,16188138670,16188276642,16188276643,,,,,"Soriana"
1,46,"Delicias","Calz. Gómez Morín Ote.","S/n","Centro","Delicias","Chihuahua",33000,16394724523,16394724686,16394724533,16394724845,,,,"Soriana"
1,47,"Las Fuentes","Calle Del Arcángel",20,"La Fuente","Torreón","Coahuila",27280,18717322258,18717219547,,18717630573,,,,"Soriana"
1,48,"Jardines","Blvd. Francisco Villa Y Magnolia",100,"Jardines De Durango","Durango","Durango",34220,16181434206,16181434208,16181434210,,,,,"Soriana"
1,49,"Las Rosas","Blvd. Miguel Alemán",1495,"Las Rosas","Gómez Palacio","Durango",35090,18717373484,18717373479,18717373480,,,,,"Soriana"
1,50,"Fresnos","Manuel Herrera",101,"Las Praderas","Apodaca","Nuevo León",66636,18183299000,"Ext5050119","Ext5050120","N/a",,,,"Soriana"
1,51,"Las Palmas","Juana B. Tijerina Norte",2033,"Fracc. Las Palmas","Cd. Victoria","Tamaulipas",87140,18343143152,18343143154,18343143157,18343143153,,,,"Soriana"
1,52,"Pape","Blvd. Harold Pape",1202,"Loma","Monclova","Coahuila",25770,18666339606,18726339608,18726339609,18726339622,,,,"Soriana"
1,53,"Las Torres","Av. Lázaro Cárdenas",2801,"Los Rosales","Monterrey","Nuevo León",64640,18183299000,"Ext5053119","Ext5053126","Ext5053111",,,,"Soriana"
