2220,RUBEN DARIO,01 33 ,36-40-42-70,36-40-47-06,36-41-49-96,36-41-88-57,,,JALISCO,GUADALAJARA ,"Turín No. 2828 entre Rubén Darío y Florencia, Col. Lomas de Guevara, C.P. 44657, Guadalajara, Jal. "
2805,"CONCHAL ,BOCA DEL RIO",01 22,91-79-45-01,91-79-45-03,91-79-45-04,91-79-45-06,,EXT.105,Veracruz,VERACRUZ,"Carretera Federal Boca del Río - Antón Lizardo Km 3.5 No. 3500 en el acceso al Fraccionamiento Lomas Diamante, Col. Ex Hacienda Santa María Buenavista, C.P. 95253, Alvarado, Veracruz"
2829,CALZADA DE LOS LEONES,01 55,55-93-62-51,55-93-59-61,55-93-62-08,,,,"MEXICO, D.F",AREA METROPOLITANA,Calzada de Los Leones No. 242 Col. Los Alpes  Delg. Alvaro Obregón Mexico D.F. C.P. 01010
2830,J.DE LA MONTAÑA,01 55,56 45 82 00,26 15 87 13,30 89 08 79,3089 23 56,,Ext. 127,"MEXICO, D.F",AREA METROPOLITANA,"Blvd. Picacho Ajusco No. 8 entre las calles Paseos del Pedregal y Pico de Turquino, Col. Jardines en la Montaña, C.P. 14210, Tlalpan, D.F"
2895,LA MARINA  ,01 744,482-41-76,482-41-68,482-07-97,482-42-21,,,GUERRERO,ACAPULCO,"Blvd. Costera Miguel Alemán No. 641 entre las calles Adolfo López Mateos y Las Playas, Col. Las Playas, C.P. 39390, Acapulco de Juárez, Guerrero "
3025,PARQUES POLANCO,01 55,55-45-32-01,52-03-22-24,26-24-06-39,,,55-45-47-64,"MEXICO, D.F",AREA METROPOLITANA,"Lago Alberto No. 320, entre las calles Mariano Escobedo y Lago Mayor, Col. Granada, C.P. 11520, Deleg. Miguel Hidalgo, D.F."
3034,FUENTES DE LAS LOMAS,01 55,5247-4336,5247-4335,5247-4334,5247-4333,5247-4330,EXT. 105,ESTADO DE MEXICO,AREA METROPOLITANA,"Av. Jesús Del Monte No. 37, Entre Olmo y Prolongación Huixquilucan, Col. Jesús Del Monte, C.P. 52764, Huixquilucan, Estado De México "
3035,GALERÍAS,01 993,316-94-70,316-86-39,316-86-54,316-86-55,316-86-66,316-89-60,"VILLAHERMOSA, TABASCO",VILLAHERMOSA,"Prolongación de 27 De Febrero No. 3016, Entre Av. Paseo De Tabasco y Vía 5, Col. Galaxia Tabasco 2000, C.P. 86035, Villahermosa Tabasco"
3053,MONTEJO,01 999,948-06-18,948-06-37,948-07-41,948-06-76,944-76-22,,"MERIDA, YUCATAN",MERIDA,"Calle 30 No. 500 Col. Mexico C.P. 97125 Mérida, Yucatán"
3054,SANTA ANITA,01 33 ,31-88-63-13,31-88-67-24,31-88-60-75,,,31-88-62-39,JALISCO,TLAJOMULCO,"Av. López Mateos Sur No. 5550 ""A"" esq. Calle La Tijera, Col. Santa Anita, C.P. 45645, Tlajomulco de Zúñiga, Jal."
3140,JURIQUILLA,01 442,393-05-07,393-05-10,393-05-23,393-05-24,,,"QUERETARO, QRO.",QUERETARO,"Anillo Vial II Fray Junipero Serra No. 2701 Manzana 2 Lote 9 entre las calles Santa Teresa y Juriquilla, Col. Fracc. Residencial Juriquilla Santa Fe, C.P. 76230, Querétaro, Qro"
3177,INS. LA JOYA,01 55,56-55-81-08,56-55-80-62,56-55-81-26,,,,"MEXICO, D.F",AREA METROPOLITANA,"Insurgentes Sur No. 4120 entre las calles de Cantera y Limantitla, Col. Tlalpan Centro, C.P. 14000, Deleg. Tlalpan, D.F."
3212,IRAPUATO,01 46,26-23- 09 -78,26-23 -08- 42,26-23-10-87,26-23-03-36,,,GUANANJUATO,IRAPUATO,"Av. Villas de Irapuato No. 1861 entre las calles Las Villas y Río Silao, Col. Ejido San Francisco de las Charcas, C.P. 36670, Irapuato, Gto."
3224, CENTRO DE ATENCION A DOMICILIO,155,12-85-73-69,56-35-74-94,,,,,"MEXICO, D.F.",AREA METROPOLITANA,Pino no 72 Col SAN Clemente  Delegación Alvaro Obregón Mexico  D.F C.P  01470
3359,BUGAMBILIAS,01 33,31-88-43-29,36-84-56-64,31-88-32-29,,,,JALISCO,ZAPOPAN,"Blvd.  Bugambilias No. 4460 entre las calles Circuito del Lince, Col. Ciudad Bugambilia, C.P. 45238, Zapopan, Jalisco (Oficial)"
3397,MAYORAZGO,01 55,56-04-92-82,56-04-87-74,56-05-32-56 ,56-05-88-98,,,"MEXICO, D.F",AREA METROPOLITANA,"Mayorazgo No130 Col. Xoco Del. Benito Juarez , México  D.F. C.P. 03339 "
3479,POPOCATEPETL,01 55,56-04-24-11,56-04-24-17,56-04-24-19,56-04-24-22,,,"MEXICO, D.F",AREA METROPOLITANA,"Av. Popocatepetl No 546 esq. Av. Universidad, Col. Xoco, C.P. 03330, Deleg. Benito Juarez, D.F."
3480,WTC DAKOTA,01 55,62-34-89-05,62-34-89-03,62-34-89-02,62-34-89-01,,,"MEXICO, D.F",AREA METROPOLITANA,"Av. Dakota No. 95 entre las calles Arizona y altadena, col. Nápoles, C.P. 03810, Deleg. Benito Juárez, D.F. "
3481,GRAND POLANCO,01 55,55-80-74-01,55-80-74-02,55-80-74-03,55-80-74-04,55-80-74-05,,"MEXICO, D.F",AREA METROPOLITANA,"Boulevard Miguel de Cervantes Saavedra no. 380, (376a)Col. Irrigación, Delegación Miguel Hidalgo"
